krama,ngoko
tiyang kekalih sarosanipun nanging boten saged lumebet sadaya awit katulak wedaling endhut saking nglebet saweg lumebet sapalih tiyang kalih sampun boten kuwawi ametelaken tumunten kula tuwin tiyang satunggil malih dados tiyang sakawan sami ametelaken ewadene boten saged majeng sareng deling sampun boten saged lumebet malih lajeng dipun culaken wedali deling saking lenging endhut sumebut mumbul dhateng ing gantara ngantos inggil,loro wong pada melu nanging ora bisa mlebu kabeh amarga dipeplok wedang wedang saka njero pas mlebu setengah loro wong wis ora kuat nggawa terus aku karo siji maneh dadi papat wong pada nggawa nanging ora bisa maju bareng wedang wis ora bisa mlebu maneh terus diucul wedang wedang saka njero wedang mumbul menyang nduwur nganti dhuwur
tuwan lajeng mariksa para tiyang ingkang sami damel sarem,kowe banjur mriksa wong wong sing lagi kerja
nanging pikantuking,ning olih
toya mawi sarana damel sumur lebet pamendhetipun katimba mawi senggot toyanipun panas kados wedang raosipun asin dene pandamelipun sarem sami ugi kalihan ing bledhug,banyu nganggo gawe sumur jero njero digambar nganggo gayung banyune panas kaya wedang rasanipun asin nanging ambune anyep kaya petasan
sareng tuwan sampun mariksa sadaya tumunten wangsul dhateng ing grobogan nyare kalih dalu enjingipun bidhal nitih kareta pos dhateng gundhi sadumugining gundhi lajeng numpak kareta latu ingkang saking surakarta dhateng semarang sareng dumugi ing setasiyun kedhungjati tuwan tumedhak pindhah kareta latu ingkang lumampah dhateng welemin sareng dumugi ing setasiyun,kowe wis mriksa kabeh terus bali nang grobogan nginep loro bengi esukane budhal numpak kereta pos nang gundih tekan gundih terus numpak kereta api saka surakarta nang semarang tekan stasiun kedhungjati kowe ganti kereta api sing mlaku nang welemin tekan stasiun
kedhungjati tuwan tumedhak pindhah kareta latu ingkang lumampah dhateng welemin sareng dumugi halte tuntang tuwan tumedhak gantos nitih kareta kapal dhateng salatiga wonten salatiga kendel ing griyanipun tuwan asasten residhen kula nyuwun pamit badhe sumerep kawontenanipun ing salatiga ingkang kenging kula serati,kedhungjati mas mlaku pindah kereta api menyang welemin tekan halte tuntang mas pindah numpak prau menyang salatiga wonten salatiga ngaso ning omah e mas aku pamit arep ndelok kono sing oleh tak serati
kitha salatiga punika dumunung wonten sukuning redi marbabu,salatiga iku ana ing lereng gunung marbabu
griyanipun tuwan asisten majeng mengaler sarta alit iringanipun ingkang wetan elet radinan mawi alun alun sanadyan kitha alit katingal rame lampahipun tiyang dagang kathah,omahmu asisten munggah lor lan cilik pawon wetan cedhak alun alun senajan kutha cilik katon rame dagang akeh
toko welandi tuwin arab wonten pacinipun alit anglantreng turut radinan ing dhateng surakarta nanging rame,toko walanda karo arab ana cilik cilik ngrenteng mlaku mlaku ning surakarta nanging rame
punapadene pangagenging prajurit kapalan sakalihan saradhadhunipun manggen wonten ing salatiga punika ingkang amewahi ramenipun wonten balemarta patirahanipun janma nandhang roga kagunganipun kajeng gupremen ing saestu bilih tiyang sakit tirah dhateng salatiga saged enggal saras punika saking dayaning hawa asrep sabab hawa asrep saged anyawaraken sakathahing sesakit,terus panggedhene prajurit karo rakyat kabeh manggon nang salatiga iku sing nggawe rame nang balemarta patirahan wong lara duwe pangarep arep yen wong lara lunga nang salatiga cepet mari iku amarga hawa adem soale hawa adem isa ngobati kabeh penyakit
ing sawetanipun kitha wonten udaling toya lakung bening mawi pager jare sarta mawi griya payon sirap saha mawi kabilik bilik nama lepen taman kadamel pasiraman ageng kados ing kota batu bogor sinten ingkang adus mawi bayar sen ingkang kagungan prigi wau nama tuwan heigendherat,wingi ana sumber banyu jernih pager bates omah genting karo kamar kamar jenenge taman lepen digawe panggonan adus gedhe kaya ing kota batu bogor sing adus bayar sing duwe jenenge pak heigendherat
kula lajeng lumampah mangidul aningali umbul toya langkung sangking bening nama umbul senjaya celak ing dhusun tingkir saking salatiga kawan pal tebihipun,aku terus mlaku nang kidul nengok umbul banyu luwih bening jenenge umbul senjaya cedhak dusun tingkir salatiga adoh
punika ing ngajeng tirakatanipun kajeng sultan prabu amijaya ing pajang ing nalika taksih timur ingkang nama raden mas karebet jaka tingkir sarta wonten,iku wingi tirakatane sultan prabu amijaya nang pajang nalika isih enom jenenge raden mas karebet jaka tingkir lan ana
patilasanipun warni sela gegilang ingkang minangka pagenan panyepen malah dumugi ing sapunikaka dados pamidhanganipun tiyang kathah,patilasan e watu akeh werna werna sing dadi papan ndhesek malah nganti saiki dadi tontonan akeh wong
saking umbul senjaya kula mampah dhateng tuk odho prenah sakilening salatiga tuk odho wau yen mangsa rendheng pepet boten mili toyanipun bilih sampun numpak mangsa katiga andarbena sasmita mungel jumegur pratandha tuk odho sampun menga wiwaranipun katingal toyanipun mumpal mumpal mili ageng lajeng para tiyang tani andandosi bendungan tuwin susuk wangan toya kailekaken dhateng pasabinanipun,umbul senjaya aku mlaku ning tuk odho ana ing salatiga tuk odho kuwi yen mangsa rendheng pet ora mili banyu yen wis mangsa ketiga andar bena sasmita mungel jumegur prandhane tuk odho wis metu banyune katon banyu mili gedhe terus wong tani ndandani bendungan lan susuk banyu dialihake ning sawah
saking tuk odho kula lajeng dhateng lepen tuntang,kowe tak tunggu terus nang kali tuntang
aningali grujugan semirang anjlogipun toya saking nginggil dhumawah ing ngandhap kinten wonten kaki andamel eram dhateng tiyang ingkang saweg nembe sumerep karana dhumawahing toya sakalangkung inggil sadumugining ngandhap dhumawah ing sela mala swaranipun kumarasak kamireng saking katebihan meh sami kalihan grujugan punbahung ing malang cariyosipun tiyang ing ngriku salebeting grujugan wau wonten guwanipun wiyar bilih tiyang wonten salebeting guwa wau boten teles mila ing nalika taun walandi dados pratapanipun raden ayu serang ingkang kacriyos dados,ndelok curug gedhe banyu saka ndhuwur tiba menyang ngisor rasane ngeri kanggo wong sing lagi weruh mergo banyune tiba saka dhuwur banget ngebrok watu suarane banter banget meh padha karo guntur critane wong kana jero curug kuwi ana guwone amba yen ana wong jero guwa ora ketiban udan nalika jaman walanda dadi papan pertapaan raden ayu serang sing critane dadi
senapati paprangan jaman perang dipanagaran,panglima perang jaman perang diperebutke
kula lajeng wangsul dhateng salatiga enjingipun tuwan tetiga bidhal nitih kareta kapal sareng dumugi ing tuntang nitih kareta latu ingkang dhateng ing wilemin bahrawa wonten ing bahrawa lereh wonten ing griya nedha kula kadhawuhan ing tuwan dikakaken lumampah aningali punapa punapa ingkang pantes dipun serati,aku bali nang salatiga esukmu tetiga budhal numpak sepur tekan tuntang numpak andong tekan wilmin bahrawa ana bahrawa turu nang omah mangan tak suruh paklik mlaku ndelok opo opo sing pantas ditulis
kula lajeng aningali beteng ingkang kawastan wilemin adamel gumun ngunguning manah aningali kawujudanipun beteng ageng dhapur pesagi sakalangkung santosa warninipun endah,aku terus ndelok benteng jenenge wilemin nggumun banget atiku ndelok wujude benteng gedhe wangun persegi kuat banget wernane ayu
awig ing pandamelipun mawi jagang jagang sarta baluwarti saha kataneman ing deling ori sampun ngreda wiwaranipun sakawan wetan kidul kilen sarta eler nanging ingkang kangge dipun lampahi tiyang kekalih wiwara wetan kalihan kidul lojinipun mubeng tundha satunggil plataran ingkang tengah mawi sumu bur,kowe karo aku mlaku mlaku ning omahe omahe gedhe banget lan kebon ijo ijo omahe wis kelilingi tembok arah wetan kidul lor lan kulon nanging sing arep dilewati mung wetan karo kidul muter muter ngliwati halaman tengah kanthi tenang
kala ing ngajeng isenipun prajurit langkung kathah ewon nanging ing wektu punika namung sakedhik sanget jalaran kala taun ing bahrawa wonten lindhu ageng ngantos loji loji wau kathah ingkang bledhag,biyen tentara akeh banget ewon ewon saiki mung sithik banget amarga taun kepungkur ana gempa gedhe akeh omah sing rubuh
mangka kacriyos wragad pandamelipun beteng wilemin wau telasa yuta rupiyah mila sakalangkung emanipun karana satanah indiya boten wonten ingkang,wong kok crita biaya perbaikan benteng wingi selasa telung yuta rupiah mulane sayang banget jalaran tanah india ora ono sing
anambangi,mbantu
kula lajeng dhateng ing banyubiru ing ngriku inggih wonten wadya tantra kumpeni nanging boten kathah amung sawatawis griyanipun namung tangsi kemawon banyubiru kaprenah sukunipun redi katelamaya marbabu,aku terus menyang banyubiru kono ana tentara sedikit mung sawetara omah mung barak bae banyubiru iku desane ana gunung merbabu
kula lajeng dhateng dhusun rawaseba ing ngriku wonten redi alit kawastanan candhi dhukuh wonten pasareanipun sang aprabu brawijaya ing majapait wekasan menggah pasarean wau sakalangkung panjang selanipun sekaran sinambat sabet saha mawi kaukir sae kula pecaki panjangipun wonten pecak beda sanget kalihan pasarean ing demak tuwin kudus sarta,aku terus nang dusun rawaseba ning kono ono gunung cilik jenenge candhi dhukuh ana petilasan prabu brawijaya jaman majapahit mengko petilasane iku dawa banget alus diukir apik aku kira kira dawane beda banget karo petilasan ning demak lan kudus
boten kacungkup,ora cukup
kula lajeng dhateng umbul pening ing ngriku kula aningali toya langkung wiyar kados samodra amulak mulak saking beninging toya tuwin lebet katingal biru kasiliring aliwawar katingal mawi ombak gumulung alirap lirap andamel nyenyesing manah ing tengah wonten cecukulan anama prumpung gesang wonten sanginggiling toya manawi dhedhapuran kados wuluh lembak lembak anut lampahing toya mubeng kapantuk ing maruta winastanan prumpung sapu cariyosipun tiyang ngriku punika prumpung dados sapuning jim peri perayangan ingkang makayangan wonten ing pening mila toya ing pening boten saged katutup,aku terus menyang umbul pening kono aku ndelok banyu amba banget kaya segara mlaku mlaku saka jerone banyu lan katon biru kelilipan sinar srengenge katon karo ombak gumulung gumulung alon alon nggawe adem ati ing tengah ana kembang jenenge prumpung urip ana pinggir banyu yen rupane kaya godhong lembak lembak nuruti aliran banyu muter kepethuk karo angin diarani prumpung sapu carita wong kono iku prumpung dadi sapune jin peri perayangan sing ngambang ana ing pening mula banyu ing pening ora isa ditutup
ing cecukulan sarta rerunggut jalaran sinapu lampahing prumpung rinten dalu boten mawi lereh,sakwise turu lan mangan akeh amarga ngenteni wayah bengi ora leren
punapa ing pening kathah jin ingkang nglampahi nerak awisaning ratunipun,apa akeh jin sing nglakoni nglanggar kekarepan ratune
dene kathah jin ingkang nyambut damel peksa kinen nyapu rinten dalu iba pulisi jin wasis wasis ngupados katrangan menggah lebetipun umbul pening boten kenging kacakrabawa,akhire akeh jin sing dipeksa kerja ngepel siang dalu malah polisi jin sing pinter pinter golek keterangan soal umbul umbul ora isa digawa
saking gotekipun tiyang rawaseba ingkang angater kula nalika kakekipun buyut sampun anyemplungaken kudhi wonten telenging umbul pening ngantos dumugi buyut sapunika dereng saged kandhas dumugi dhasaring siti ngandhap,kocone wong lanang sing nggawa aku nalika buyute mbahku wis nyemplungake kendi nang dasar umbul pening nganti saiki buyutku durung iso tekan dasar lemah ngisor
saking pening boten tebih kula ningali udal kekalih toyanipun panas kados wedang mesa amikantuki kadamel adus tiyang ingkang nandhang roga,kowe mbokmenawa ora adoh ndelok banyu loro panas kaya wedang jahe kanggo adus wong sing lara
cariyosipun umbul kekalih wau kala rumiyin sepuh ingkang langkung mandi ing nalika sang aprabu brawijaya narendra ing majapait wekasan kengser saking praja awit perang kawon kalihan adipati ing bantara lajeng adhedhekah manggen ing redi candhi dhukuh karsa anindakaken pakaryan pandhe ajejuluk mpu budhasekti ayasa sakathahing dedamel ingkang lungit sarta ampuh,umbul loro kuwi biyen sepuh sing kerep adus nalika raja brawijaya dadi raja majapahit akhirnya minggat saka kraton gara gara perang kalah karo adipati bantara terus urip nyempil nang gunung candhi deso karsa dadi pandhe jenenge mpu budhasekti nggawe akeh barang barang kang apik lan ampuh
kula saking umbul pening lumampah mangetan aningali dhateng umbul ingkang nama,aku saka umbul pening mlaku mangetan nonton umbul jenenge
muncul namung kalih pal saking pening tebihipun dumunung wonten sukunipun redi gajahmungkur marbabu sareng kula sumerep sakalangkung gawok mawi miris ing manah dene wedaling toya saking selaning sela ingkang ageng manyul nistha kados sirahing taksaka raja wedaling toya sumembur sumemprot pindha kadosdenening wedaling wisa saking tutuking naga makrura arsa manaut mamangsanipun sumalaking ganggeng sarta lumut katut wedaling toya sumemprot kadosdening ilating taksaka nyembur medalaken hawa wedaling toya sangking sela swaranipun kumarasak kapireng saking katebihan ing saestu agegirisi dhateng tiyang ingkang nembe sumerep,keluar cuma loro sumber saka pinggir tebing dununge ana sukun redi gajahmungkur marbabu karo aku weruh banget ngeri lan atiku loro amarga banyu metu saka celah watu gedhe banget ngisor kaya sirah raksasa banyu muncrat nyembur kaya racun saka cangkem naga jahat arep nyerang mangsane godhong lan lumut klelep banyu nyembur kaya ilat raksasa ngembusake hawa banyu saka watu swarae banter banget kedenger saka kadohan bener bener nggegirisi kanggo wong sing lagi weruh
dene ilining toya anjok,yaiku banyu sing akeh
ing rawa bahrawa nunggil kalihan toya saking pening,rawa karo banyu campur saka sumber
dene bebujenganipun toya ing lepen muncul ingkang kathah ulam tambra umbul pening ulam grameh,yaiku banyu ing kali akeh banget iwake rame banget
ing wektu kula ningali kawontenanipun rawa bahrawa boten saged telas gumuning manah menggah wiyaripun rawa wau kinten gangsal pal pesagi nanging toyanipun katutup ing rerukut ingkang tuwuh wonten sanginggiling toya,wektu aku ndelok kahanane rawa bahrawa ora bisa ilang gumune ati marang ambane rawa iku kira kira limang patang persegi nanging banyu iku ketutup suket sing tuwuh ning pinggir banyu
punapa malih wonten kaelokan ingkang linangkung inggih punika rawa wau saben warsa asring jeblos endhut saking ngandhap muncrat manginggil sakathahing cecukulan kados piniyak lembak lembak sanalika lajeng dados talaga lirap lirap sumorot wiyaripun kinten gangsal bau endhut datan,liyane maneh ana sing luwih ayu yaiku rawa iku saben taun kerep jebol lendhut saka ngisor muncrat munggah kabeh cecukan kaya lenga ambyar ambyar banjur dadi tlaga bening wiyarane kira kira limang bau lendhut ora ana
kendhat muncrat mangigil dhawah kiwa tengen kados beteng bilih katingalan sarta mawi swara boten kendhat glegar gleger ngumandhang kapireng saking mandrawa limrahipun winastan londer saking gotekipun tiyang ing bahrawa ing wektu wonten londer inggih punika para dhemit jim peri parayangan sami gadhah damel amemantu punapa boten gelagepan dene wonten salebating toya kados bangsaning kodhok plembang,lemes deres menggigil geter kiwa tengen kaya beting yen ketok lan swara ra mandheg greger greger gumuruh kedenger saka kadohan kerep diarani londer saka gocekan wong ing kadohan nalika ana londer kuwi yaiku para setan jin peri perayangan kabeh padha gawe amemantu apa ora wedi yen ana nang banyu kaya kodhok plembang
saking bahrawa mangaler kinten kawan pal tebihipun kula aningali ingkang winastan gedhongsanga wonten sukunipun redi kangungrungan ingkang kawastanan gedhong wau warni candhi griya so kathahipun sanga nanging waktu punika ingka taksih katingal,koen munggah gunung kira kira loro kilometer adoh aku weruh sing jenenge gedhongsanga ana desa gedhong gedhongan jenenge gedhong iku warna warni kaya candi akehne ana sanga ning saiki isih ketok
sae namung tetiga sanesapun sami ambruk nanging boten dipun upakara dipun uwakaken kemawon,apik mung telu liyane kabeh ambruk ning ora diurus dibiarkan wae
kacariyos saking dongengipun tiyang ing ngriku ing jaman kina ing gedhongsanga dados pratapatanipun ajar nama resa salokantara langkung waskitha sidik paningalipun awit sampun gentur dhateng tapanipun andarbeni endhang satunggil lakung endah warninipun nama endhang kirana,kon cerita saka crita wong kono jaman biyen nang gedongsanga dadi papantapa wong jenenge resa salokantara pinter banget celik panglipurane amarga wis lila laku tapa nduwe kembang siji ayu banget werne wernine jenenge kembang kirana
ing nalika punika sa maharesi marengi badhe sidekah pangruwating mala endhang kirana kinen rumantos sajen sajen utawi tetedhan ingkang kinarya sidekah endhang matur sandika saha nyuwun ngampil seking lading alita,nalika iku para resi arep nyumbang pangruwating mala endhang kira kira disuruh matur saje saje utawa dhaharan sing dadi sedekah endhang matur manut lan njaluk njupuk saka lading alita
perlu kadamel nigasi gegodhongan ingkang badhe kinarya sesekaran ing sidekah,kudu digawe jajan godhong sing arep dienggo sesekaran ing sedekah
sa pandhita aris angandika iya rara prayoga nanging wekas kudu eling yen sira wis nganggo yen wis sira anggo aja nganti sira wani wani mangku marang iku seking awit ora becik kadadeane,pandhita kok ngomong ngono iku bener tapi ojo lali yen wis nganggo yen wis nganggo aja wani wani ngaku ngaku soko sing ora becik akibatnya
endhang matur angestokaken dhawuh pacuhanipun sa tapa,kowe ngomong nuruti perintah gurumu
endhang tumunten medal nyambut damel angrakit ingkang badhe kadamel sidekah nanging saking karsaning juwata ingkang linangkung endhang dumadakan teka kasupen ing welingipun sang pandhita,terus metu kerja ngerakit sing arep digawe sedekah tapi saking kersane gusti sing luhur terus mendadak kelalen wejanganing pandhita
sasampuning nyambut karya seking,sawise kerja saka
lajeng pinangku boten ngatos sakedheping netra seking prabawa musna endhang kirana sakamantyan kaget sarta andhredheg badaning sakojur manah sungkawa miwah trataban,terus aku ora ngerti sepisik mripat mergo pengaruh ilang cahya sakalurahan kaget lan gregetan awakku sakjuruh ati susah lan wedi
endhang enggal enggal atur wuninga dhateng sa pandhita musnanipun seking kemayan,ayo cepet takon marang pak kyai sebab e saka kembang
sareng sang tapa miyarsa aturipun retna kirana sanalika kaget sarta gugup ing penggalih wusana sa resi ngandika alon dhuh rara sira wis pesthi karsane sang hyang girinata sira tan wurung anggarbini ing tembe babar taksaka gung agegirisi sarta mawa prabawa marmane saiki karsaningsun sira ingsun tinggal ana pratapan ing gedhongsanga kene ingsun arsa,bareng tapa krungu omongane retna kirana langsung kaget lan gugup terus tapa ngomong alon dhuh rara kowe wis oleh restu hyang girinata kowe ora bakal bisa nyingkiri dadi bojone babar taksaka bojone raseksa gedhe lan duwe pengaruh gedhe merga kuwi saiki aku arep ninggalake kowe ning padepokan gedhongsanga kene aku arep
linggar marang gunung katelamaya mung ingsun mamekas ing tembe gonira garbini yen wus lair sungana aran jaka baruklinthing nanging warna taksaka nagaraja,mlaku nang gunung suwe aku melu ngurus yen wis lair jenenge jaka baruklinthing tapi warna kyai naga
kacariyos sang pandhita tumunten linggar mangidul pindhah pratapan wonten ing aldaka katelamaya kendhitipun prawata marbabu anggenturaken tapa sageda alingga bathara pratapan asri katingal ngalela,konon ana pandhita terus lunga kidul pindah tapa ing alas angger angger gunung marbabu anggone tapa isa dadi jelmaan bathara papan tapa ayem katon ayem tentrem
endhang kirana anggenipun garbini sampun dumugi ing ubayanipun sangang wulan anglairaken warni taksaka kumlekar lajeng sanung tetenger ngestokaken walingipun sang tapa nama jaka baruklinthing sarta sampun saged tata jalma matur ingkang ibu,wis wayahne bojone ngandhut wis tekan wulan sembilan nglairake anak rupane kaya ular gedhe terus tandane ngetokake pusare wong tapa jenenge jaka baruklinthing lan wis bisa dadi manungsa ngomong karo ibune
dhuh ibu sinten ingkang ayoga dhateng kula mugi ibu paringa pitedah ingkang sanyata,bu sapa sing cocok karo aku takon karo ibu jaluk pitutur sing bener
iya ger,iya
sira iku putrane pandhita linuwih aran resi salokantara amerta ana ing wukir katelamaya kendhiting gunung marbabu ka miring ngalor nanging yen kena sira tak penggak sedyamu iku awit kowe yen nganti katemu marang wong tuwanira kang cetha sira bakal nemu papa cintraka,kowe iku anak pandhita linuwih jenenge resi salokantara amerta ana ing gunung katelamaya lereng gunung marbabu mengarah lor nanging yen kena aku ngerti niatmu iku amarga kowe yen ketemu karo wong tuamu sing bener bakal entuk susah banget
boten ibu kula kumedah sowan rama sang pandhita sanadya kula badhe manggih papa cintraka utawi dados dheg amun amun ing kula temah,ora ibuku kudu sowan bapak pandhita senajan aku bakal entuk susah utawa wedi banget nek aku ora nurut
iya ger kang ora liya ingsun anjurungi karaharjan ing lakumu,iya aku sing menehi restu marang lelakumu
baruklinthing sumungkem padaning ibu,matur nuwun ibu
lajeng pangkat,terus pangkat
kacariyos jaka baruklinthing lajeng manekung maneges karsaning juwata ingkang kawekas,jaka baruklinthing terus numpak terus nglakoni karepe gusti kang dijaluk
ong siwah wisesa jati mahayu ri mahayun mananggapa tegesipun dhuh hyang wisesa satuhu kuwasa sung arja dhatengaken gara gara jawah pancawora tarik lesus dhedhet orawati lajeng lepen ing gedhongsanga banjir lakung ageng toya saking redi kangungrungan jaka baruklinthing enggal anjegur lepen angeli anut lampahing toya banjir siti ingkang katrajang banjir dados lepen ageng katelah dumugi sapunika nama kali panjang,kowe siji kang kuoso banget pancene kuoso banget tegese gusti kang kuoso banget pancene isa nggawe udan deres banget banjir bandhang banyu deres banget terus mlebu omah omah banyu saka gunung gedhe banget langsung mlebu kali banyu banjir ngalir terus lemah sing kena banjir dadi kali gedhe diarani kali panjang nganti saiki
sareng dumugi siti bulak saantawising,bareng tekan sawah
aldaka marbabu jaka baruklinthing minggah ing dharat ngadeg jejer lwir tuku tan sinukarta amaspaosaken wukir marbabu padhepoklanipun ingkang rama pratapan katingal ngalela mawa prabawa sa jaka angungandika apa kae pratapane rama kang katon asri amawa cahya temtu ora cidra ika pratapane pandhita kang wus lingga bathara,ala marbabu jaka baruklinthing munggah ing bumi ngadeg jejere kaya tuku ora salah amaspaosake gunung marbabu padepokan rama pertapa katon ayu mawa pengaruh jaka ngomong apa iku padepokan rama sing katon ayu mawa cahya mesthi ora salah iku padepokan pandhita sing wis dadi dewa
katelah dumugi jaman sapunika siti panggenipun ki jaka kewraning manah kawastanan dhusun tegalmangu,jenenge nganti saiki papanene ki jaka kuwi jenenge dusun tegalmangu
baruklinthing lajeng lumampah dedel sumengka ing wukir katelamaya pethit ngadeg sarta mungel kumarompyong kados gantha sayuta saha amawa prabawa,baruklinthing terus mlaku alon alon munggah gunung suwe banget ngadeg terus muring muring kaya angin puyuh lan nduwe pengaruh
sakathahing tiyang pareden sami giris mireng swara,kabeh wong padha cepet cepet krungu swara
kumarompyong wonten ing dirgantara kalihan mawi prahara angin lesus agegeteri para tayang sami adedupa tuwin bucali sekar sekar ingkang ganda wangi supados sirepa,kecemplung ing langit karo angin deres banget para bintang pada padha mbebayani lan ambyar kembang kembang sing wangi supaya ora wedi
kacariyos sa resi salokantara sareng amiyarsa wonten swara kumarompyong kados gentha sayuta wonten ing dirgantara sa tapa langkung kaget lajeng medal saking padhepokanipun amawas kawontenanipun swara sang resi boten kasamaran ing tingal bilih ingkang dhateng mawi gung swara sarta prabawa punika ingkang putra,dicaritakake resi salokantara krungu ana swara rame kaya genta sayuta ana ing langit resi tapa kaget terus metu saka padepokan ndelok sumber swara resi ora suwe weruh yen sing teka karo swara gedhe lan kuwate iku putrane
sanadyan sang jaka inggih sumerep bilih tiyang ingkang dhateng amethukaken punika ingkang rama mila sang jaka enggal lampahipun lajeng manganjali sumungkem,walau jane wong lanang iku ngerti yen wong sing teka iku bapakne wong lanang iku langsung cepet lunga terus sungkem
padaning rama,bapakne rama
sang pandhita ngandika kulup bagea satekanira ana ngarsanisun,ki pandhita ngomong aku seneng kowe teka ning ngarepku
sa jaka matur sarta manganjali dhuh rama kang wisesa sanyata kuwasa sung arja papa ing ulun,aku nek ngomong lan sungkem le ra kang pinter nyata kuoso gawe salahku
nanging sa pandhita semu duka jalaran dhatengipun ki jaka mawi digsura amurang tata purun angwontenaken prabawa dhedhet erawati anggegeteri andamel girising para tiyang ing pareden sadaya sarta merang darbe weka taksaka gung kagila gila sanalika tuwuh sruning duka saha ngandika wengis,nanging pandhita semu duka amarga ki jaka digdaya ora nuruti tata krama nggunakake aji dhedhet erawati ngganggu wong akeh lan nggawa weka taksaka gedhe langsung dadi duka lan ngomong kasar
heh baruklinthing kayaparan dene sira kumawani marang ingsun jujug tanpa larapan sarta ungumbar swara lan amawa prabawa gawe gita girising,eh mbok yo ojo ngganggu aku kowe kok wani menyang aku langsung tanpa pamit lan banter banter suarane malah nggawa pengaruh gawe rame
kawulaningsun wong pagunungan kabeh,aku wong gunung kabeh
sa tapa saksana narik katga pethiting sa jaka katigas ki jaka lajeng nglempuruk kados kapuk sirna daya prabawanipun,kowe ora isa narik atiku atiku wis kaku kowe terus nyerang kaya kapuk ora ana daya
sang pandhita angandika heh jaka sira aja lunga lunga saka kene matengna tapanira aja sira boga yen ora ana teka ing ngarepira besuk kowe ruwat papa cintrakanira pulih paripurna sajatining manungsa kang sampurna sa tapa kondur dhateng padhepokan,pandhita ngomong heh jaka kowe aja lunga lunga ning kene matenga topamu aja kowe nduwe yen ora ana teka ning ngarepmu besuk kowe ruwat papa cidranmu mulih sampurno dadi manungsa kang sampurno sa tapa bali ning padepokan
tansah manungku puja semedi nenuwun sang hyang jagad wisesa anakipun tumuntena enggal ruwat saking papa cintraka saged dados manungsa kang utama,ayo terus sembahyang pangestun matur nuwun gusti kang maha kuasa supaya anakmu cepet dibebasake saka dosa lan ala bisa dadi manungsa kang apik
kacariyos baruklinthing sapengkering,dicritakake baruklinting sapengker
kang rama sang pandhita boten mingser saking panggenan waktu katigas pethitipun wonten sukuning redi katelamaya angalengker wonten ing ngriku saking laminipun agenipun ngalengker ngantos kacukulan ing glagah sarta kambengan tuwin kekajengan sanesipun dados sampun boten katingal sipating taksaka katelah dumugi sapunika nama redi maleker sakiduling rawa bahrawa,bapak pandhita ora obah saka papan nalika ditemokake ana ing pucuk gunung suwe banget lungguh ana kono suwe banget lungguhe nganti ketutup suket glagah karo wit witan lan tumbuhan liyane dadi ora ketok maneh wujude ular mula diarani gunung maleker pinggir rawa bahrawa
kocapa ing dhusun banarawa sangandhaping redi katelamaya para tiyang ing dhusun ngriku badhe sedhekah merti dhusun kamisepuh sarta tiyang kathah kesah angupados sato wana badhe kadamel ulam anggenipun badhe sidhekah anggenipun kesah awit enjing,dicritakake ing dusun banarawa ngisor gunung katelamaya wong wong ing dusun iku arep sadhekah merti dusun lan akeh wong podo nyambut kewan alas arep digawe olahan kanggo sadhekah podo budhal wiwit esuk
ngantos lingsir kilen boten pikantuk satunggiling sato,nganti sore ora oleh kewan siji
kamisepuh wicanten he kanca dina iki kok sabel temen wong kancil bae ora mrangguli tak kira kewane padha ngalih marang gunung ayo kanca padha munggah marang gunung bae,kowe ngomong opo sih kanca dina iki kok angel banget wong kancil wae ora iso ngerti aku kira kewan kewan pada pindah gunung ayo kanca munggah gunung ae
mangga kyai mumpung taksih ragi siyang,ayo kyai mumpung isih sore
kacariyos tiyang banarawa sadaya lajeng sami minggah dhateng redi katelamaya rehning sami sayah lereh wonten pepunthuk sukuning redi ingkang kadamel linggih emper prabatang ageng,dicritakake wong mlarat kabeh terus padha munggah gunung kesel banget mergo padha lemes ana papan ing pucuk gunung sing digawe panggonan lungguh gedhe
wonten satunggiling tiyang badhe nginang anyigar jebuk kalandhesan ingkang warni prabatang wau berangipun,ana wong arep nginang anyar jebuke kalandhesan werne abang
angenging ingkang pandha prabatang prabatang medal erahipun tiyang wau wicanten he kanca iki prabatang dudu suwadine ora ana kayu kang wis dadi prabatang metu tlutuhe,kowe iki kok malah ngomong ngono kanca prabot iki ora isa metu dhewe ora ana kayu sing isa dadi prabot trus metu dhewe
kamisepuh enggal aningali iki sanyatane dudu kayu iki buron kang diarani uling ayo kanca nuli dipurak mumpung ijih awan,kowe cepet deleng iki bener iki dudu kayu iki kewan jenenge uling ayo kanca langsung diburu mumpung awan
enggalipun lajeng kapurak purak ulamipun kausung mantuk dhateng griyanipun umbul ing dhusun banarawa kadekek wonten ing mathokan ulam angebeki griya satunggil,cepet cepet diburu umpane digawa mulih nang omah e umbul ning dusun banarawa diumbar ning pager umpane mlebu omah siji
kacariyos yitmanipun baruklinthing angetutaken para tiyang ingkang angrembab ulam ngantos dumugi griyanipu,dicritakake mbokmenawa uwong maburuk melu wong sing nyekel ulam nganti tekan omah
umbul ing banarawa nanging warninipun sang yitma wau lakung dening awon bathuk nonong mripat gerong irung menthil kuping perut dhadha peksi weteng bekel,mripate gerong irunge menthil kupinge perut dhadhane peksi wetenge bekel ora ayu
bokong canthik suku impur tangan kuwaga,konthong ayu sikil kotor tangan kuat
